椰子＆桂: 「早上１０點，早餐（收拾篇）」
紅豆: 「喔──吃飽了吃飽了～偶爾吃吃味噌湯泡飯也不錯嘛～」
楓: 「只要肚子一填飽，就會覺得什麼都無所謂了呢～」
時雨: 「妳們兩個，手腳開開躺成這樣很沒規矩喔～」
桂: 「看她們跟時雨一起躺成大字的模樣，真的好像親生姊妹呢～」
椰子: 「……！……！」
桂: 「……椰子？」
椰子: 「咦？啊，抱歉，我太專心洗碗了……」
椰子: 「沒辦法，我手腳實在不太靈光，所以一不小心就會──」
椰子: 「……就會變成這樣。嗚嗚……」
桂: 「誰叫椰子就是力氣比人大呢～……」
桂: 「反正破掉的碗是紅豆的，沒問題沒問題。不要緊的啦～」
桂: 「等等放輕力道小心洗就好囉～♪」
椰子: 「嗯，還好破的是紅豆的碗。接著要輕輕地、輕輕地……啊！」
桂: 「啊，時雨的碗──」
椰子: 「沒那麼簡單────────！！」
巧克力: 「喔喔──接得漂亮！椰子好厲害，反射神經好好喔！」
香草: 「簡直可以開一人馬戲團了。了不起。」
椰子: 「沒、沒有啦，這沒什麼大不了的，耶嘿嘿……」
巧克力: 「再～一次！再～一次！」
香草: 「安可，安可」
椰子: 「那、那就再表演一次……這次改用我自己的碗喔？」
椰子: 「喝……哈！唷……呀！！」
巧克力＆香草: 「哇──再一次！再一次！」
桂: 「嘻嘻，簡直就像爸爸在哄小孩一樣呢～」
桂: 「爸、爸爸跟……小孩……？」
桂: 「這麼說，難道我是媽媽？而且還跟椰子……！？」
桂: 「這這、這怎麼行……！女生跟女生是生不出小、小孩的說……♪」
桂: 「哈啊，哈啊……♪不行，才大白天的人家又要濕了啦～～～～……♪」
紅豆: 「桂還是跟平常一樣笨到不行嘛～」
楓: 「是啊，還是那副笨笨的老樣子～」
時雨: 「這樣才像我最愛的貓娘嘛～」
