巧克力＆香草: 「早上１１點！緊急打掃！」
巧克力: 「掃地時間～掃地時間～♪」
香草: 「今天我們被賦予的任務是拖走廊地板。麻煩歸麻煩，還是要好好做。」
紅豆: 「這啥啊？用來幹什麼的？」
楓: 「我也沒看過呢。」
椰子: 「這不是什麼危險物品吧？如果是的話，應該不會這麼光明正大擺在這裡……」
桂: 「既然貼在牆上，就表示一定有什麼用途吧～」
香草: 「發現前方有貓群。場所看起來應該是廁所。大家聚在那做什麼呢？」
巧克力: 「聽說這叫作成群結隊上廁所喔！很多女生都會這樣！不會錯的！」
香草: 「知識總是有點微妙偏差的巧克力真可愛～好乖好乖。要永遠保持這個樣子喔？」
椰子: 「啊，巧克力、香草。」
紅豆: 「妳們兩個知不知道這東西是幹嘛的？」
巧克力: 「我看看……嗯？這什麼東西，沒看過耶～」
楓: 「記得昨天還不在這裡的說。」
桂: 「難、難道……！偷拍犯的魔爪也伸到水無月家來了嗎……！？」
紅豆: 「笨哪妳！真是這樣的話現在笨楓全裸上廁所的模樣早就傳到全世界人眼裡了啦！」
楓: 「喵──！！我不是說過不准提起小時候的事了嗎！不過是上個廁所而已，現在就算半裸也沒問題了啦！！」
香草: 「無論如何這都是關係到水無月家貓娘威信的大問題，不可小覷。」
巧克力: 「喵！？突然有東西噴出來了！？」
香草: 「……嗅嗅，嗅嗅。唔，好香的味道……嗅嗅」
桂: 「喵～真的耶，好香的味道喔～嗅嗅」
楓: 「這該不會就是，我們上次在電視上看到的自動芳香劑吧？」
椰子: 「啊，人家……不對，我也有看過！聽說這東西會在固定時間或感應到有人經過的時候噴出芳香劑來喔！」
紅豆: 「喔～挺文明的嘛。也就是說這可以讓廁所一直保持芳香囉。」
巧克力: 「喔喔──！又噴出來了──！這東西好棒喔！超方便的！」
紅豆: 「真不得了，發明這東西的人真是天才。」
楓: 「就是啊。裡面不知道長什麼樣子？」
香草: 「啊，妳們這樣從上面看的話……」
紅豆＆楓: 「哇啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！！」
紅豆: 「眼睛，眼睛看不見了啦！！咕喔喔喔……痛死了……！超痛的啊……！！」
楓: 「喵啊啊啊……！！整個噴進鼻子裡了……！好難過……喵啊啊啊……！！」
香草: 「看吧。」
椰子: 「都知道會自動噴芳香劑出來了不是嗎。」
桂: 「總之要快點用水洗掉才行～！紅豆來，抓好我的手～」
紅豆: 「謝了，桂……！這份恩情我直到洗完眼睛為止都不會忘的……！」
巧克力: 「啊，紅豆？那不是桂的手，是沖水按鈕──」
椰子＆桂: 「喵啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！！」
巧克力: 「喔喔，怎麼會有這麼慘的連鎖事故……！這下事情大條了啦……！！ 」
香草: 「真是一道悲哀的螺旋。我們實在無力對抗。」
椰子: 「嗚嗚……！太過分了，人家到底犯了什麼罪要被這樣對待啊……！嗚啊啊……！！」
桂: 「眼睛，眼睛看不見了啦～……！毛巾，我記得上面的櫃子裡有毛巾……！」
香草: 「桂，那邊放的不是毛巾，是之前買起來放的衛生紙山……」
桂: 「喵啊啊啊～！不可以用衛生紙玩弄人家啦～……♪」
巧克力: 「喵──！衛生紙散得整個走廊都是──！」
香草: 「簡直就像紅毯一樣，不斷往外擴散。已經沒有人能夠阻止這道悲哀的螺旋了。」
時雨: 「妳說悲哀的螺旋怎麼了？」
巧克力: 「喵……！？時、時雨……！？」
香草: 「時、時雨……！？」
時雨: 「還以為妳們幾個乖乖在打掃，結果弄成這樣是怎樣？」
紅豆: 「不、不是的時雨……！這是誤會，天大的一場誤會啊……！」
楓: 「沒錯！我們沒有做什麼會讓妳生氣的事喔……！？那個，這是因為種種不可抗拒的理由……！」
椰子: 「嗚啊啊……時雨小姐的笑容好恐怖……！人家什麼都沒有做啊……！」
桂: 「哈啊，哈啊……♪被衛生紙綁住的感覺其實還蠻不錯的哈啊哈啊哈啊……♪」
時雨: 「身為水無月家的貓娘，居然一個比一個還不像話……」
時雨: 「總之所有人先把這裡整理乾淨，處罰待會再說。」
全員: 「知道了……對不起……」
