椰子＆紅豆: 「中午１２點，洗衣服」
桂: 「嗯～……！手搆不到曬衣竿～……！這樣子要怎麼曬衣服啦～……！」
椰子: 「沒關係，桂。高的地方交給我，妳可以幫忙把衣服甩開嗎？」
桂: 「嗯，謝謝妳囉，椰子♪　椰子年紀明明比我小，可是好可靠喔～」
椰子: 「緬因貓體型本來就比較大嘛。遇到這種時候最方便了，啊哈哈。」
桂: 「不過沖過澡以後清爽多了呢～不然濕著身體一整天還挺難受的。」
椰子: 「是啊。時雨小姐也真是的，在廁所裝新設備也不告訴我們一聲。」
桂: 「啊哈哈，就是說啊～早點告訴我們的話就不會發生這種事了嘛～……嗯？」
桂: 「啊，蝴蝶。有蝴蝶在飛耶～」
椰子: 「真的呢。蝴蝶飛呀飛的……好像，故意在眼前引誘我似的……」
椰子: 「…………（蠢蠢欲動）」
椰子: 「啊！不可以不可以，我是隻優秀的貓娘，怎麼可以被區區一隻蝴蝶給誘惑……！」
椰子: 「色即是空，空即是色……！明鏡止水，大意失荊州……！我是大人，我是大人……！」
椰子: 「我完全不在意，就算有蝴蝶在我面前飛上飛下我也一點都不在意不在意不在意……！！」
紅豆: 「我的手正燃著熊熊烈火！呼喊著要打下蝴蝶！」
紅豆: 「爆熱──────────紅豆掌────────────！！！！」
椰子: 「喵啊────！！！！！」
紅豆: 「嘖，給逃掉了！不過別想躲過下一拳！看招！！」
紅豆: 「只有錢跟玩樂才是朋友！喵────包────拳噗呸啦！！？」
紅豆: 「幹什麼妳這隻緬因貓！！很痛耶！！」
椰子: 「這是我的台詞，臘腸貓！！幹嘛突然衝過來用貓拳打我！！」
紅豆: 「誰叫妳呆呆站在那裡！」
紅豆: 「難道妳身為貓娘的榮耀都被那身塊頭給壓扁了嗎！？啊啊！？」
椰子: 「明明就是因為妳這隻豆子貓手短還硬要亂打好不好！？」
椰子: 「再說我一開始就站在這裡！！妳幹嘛不閃開還呆呆撞過來！！」
紅豆: 「少囉嗦──想打嗎！這麼想打的話我就在打爆蝴蝶之前先打爆妳！」
椰子: 「很好，偶爾也該給妳點顏色瞧瞧！看我怎麼用關節技絞到妳哭著求饒！！」
巧克力: 「喔喔……！紅豆的腳步快到讓人看不見……！是殘像，看得到殘像耶……！！」
桂: 「啊，不過一下就被抓個正著呢～然後馬上就被施展４字固定了～」
桂: 「嗯～果然不是椰子的對手呢。不過畢竟是紅豆有錯在先，這也是沒辦法的事～」
楓: 「她們兩個真的是怎麼打都打不膩耶。」
香草: 「有朝氣是好事。聽說只要有朝氣，不管做什麼都能成功喔。」
時雨: 「呼喵～……♪借曬衣服之名來包在哥哥被窩裡的感覺真是極樂，極樂喵～……♪」
時雨: 「要是時間永遠停在這個時候就好了～……♪唔呼呼呵呵呵啊哈哈哈～……♪」
