楓＆桂: 「下午１點，午餐」
時雨: 「呼。剛剛不小心睡著了，中午我們就叫外賣吧。」
巧克力: 「哇～！巧克力最喜歡外賣了！要吃什麼好呢～♪」
香草: 「來，菜單。」
巧克力: 「嗯～～～～～那巧克力要年米烏龍麵！」
香草: 「年糕烏龍麵一份。巧克力，不會念國字的話就不用勉強念嘛。」
巧克力: 「喵哈哈～巧克力也覺得自己是該多讀點書比較好啦。」
楓: 「那我要鍋燒烏龍，不要太燙。」
紅豆: 「我點鰻魚飯好了，鰻魚飯！鰻魚超棒的！」
桂: 「那我要天婦羅蕎麥涼麵。因為是冷的～♪」
椰子: 「我要……豬排蓋飯好了。」
時雨: 「哎呀，椰子吃這樣夠嗎？不用跟我客氣喔？」
椰子: 「那、那……可以再加一份天婦羅蕎麥涼麵嗎？」
時雨: 「只要這兩樣就好嗎？」
椰子: 「……對不起，其實我還想加一份年糕烏龍麵。」
楓: 「椰子真的很會吃呢。」
香草: 「一般貓娘根本吃不了那麼多。」
椰子: 「嗚哇啊────！人家只是肌肉多了點，所以基礎代謝比較快嘛──！」
時雨: 「這沒什麼好哭的啊，椰子。好乖好乖喔～」
椰子: 「麻煩幫我全部點大碗的嗚哇啊啊啊──！！」
巧克力: 「不愧是椰子，有夠精明！」
桂: 「而且吃再多身材都不會走樣呢，真叫人羨慕。雖然胸部是我比較大就是了。」
時雨: 「打過去才發現店家今天休息，所以我們改吃披薩吧。」
