巧克力＆時雨: 「下午２點，出門逛街！」
巧克力: 「逛街了～逛街了～♪」
香草: 「出門透氣的感覺真好。一臉開心的巧克力也很可愛。」
巧克力: 「不過主人最近都不太帶我們出門了喵……」
時雨: 「就是說啊，連我這個妹妹都不理，真是叫人傷腦筋的哥哥呢。唉～」
楓: 「真不知道他那麼拼命做蛋糕是為了什麼？而且還不惜惹老爺生氣。」
紅豆: 「大概是想開蛋糕店吧？所以才會自己一個人偷偷摸摸躲起來搞這些名堂。」
桂: 「偷、偷偷摸摸……！？居然自己偷偷摸摸躲起來搞，這怎麼行啦～……♪」
桂: 「嘉祥少爺要是真的忍不住，可以找桂嘛……♪稍、稍微露個點人家又不在意……♪」
椰子: 「桂，在外面麻煩妳稍微控制一下。」
時雨: 「就是說啊。況且就算要提供身體，也應該由我這個妹妹來負責才對嘛♪（臉紅）」
椰子: 「時雨小姐也是，在外面請您克制點。」
楓: 「這裡就是我最近最推薦的店了。」
楓: 「現在這個時間我建議點蛋糕套餐比較好。照人頭點沒問題吧？」
桂: 「哇啊♪楓真的知道好多時髦的店喔～♪」
椰子: 「是啊。真是間氣氛清靜的好店。」
時雨: 「不愧是我養的貓娘，真有眼光。」
巧克力: 「奶泡拉花！這裡有在幫客人做奶泡拉花耶，香草！」
香草: 「我還沒看過奶泡拉花，有點想見識一下。」
楓: 「呵呵。我就知道妳們會這麼說，所以先幫妳們點好了。」
楓: 「喔，才剛說完就來了呢。來，請用。」
巧克力: 「哇啊──！是巧克力，跟巧克力一模一樣的拉花耶！好棒喔！」
香草: 「這杯是我的長相……！不得了，真是太藝術了……！」
楓: 「呵呵，誰叫妳們是我可愛的么妹呢。偶爾也該讓妳們享受享受。」
椰子: 「那、那個……楓，那個……人家也想……」
楓: 「嘻嘻，別擔心。我知道椰子妳一定會想要，所以也幫妳點好囉。」
楓: 「看，這不是來了嗎。」
椰子: 「哇～是人家、是人家耶！楓人最好了！謝謝妳！好開心！」
楓: 「啊哈哈，看妳高興的。椰子果然還是個小鬼頭呢～」
紅豆: 「嬌嬌捲耳貓也有不錯的一面嘛。」
時雨: 「哎呀，楓可是很溫柔的喔？」
桂: 「我也知道楓其實是很溫柔的喲～♪」
楓: 「少來了，又不是什麼大不了的事……」
楓: 「倒是拉花漂亮歸漂亮，店家特地泡的咖啡可得趁熱喝才行喔？」
楓: 「這裡的咖啡也是很不錯的，記得好好品嚐。」
巧克力＆香草＆椰子: 「好～我們開動了！」
巧克力＆香草＆椰子: 「嘶嘶──」
巧克力＆香草＆椰子: 「好燙────────！！！」
