香草＆桂: 「下午４點，晚餐（決定菜色篇）」
巧克力: 「咻～咻～……嘴巴裡面好痛喔～……」
香草: 「舌頭到現在還火辣辣的……」
椰子: 「我跟店家要了冰塊過來，拿去敷敷舌頭吧。來。」
巧克力＆香草＆椰子: 「咧囉咧囉咧囉咧囉咧囉咧囉咧囉咧囉」
楓: 「怎麼看都是危險集團……」
紅豆: 「笨蛋，不要看那邊！小心人家把我們當成一夥的。」
桂: 「不行，不可以三個人一起施展這麼猛的舌技啦～～～～……♪」
紅豆: 「嗚哇，這邊也有個壞掉的人在。」
時雨: 「桂，記得我們現在在外面喔？」
桂: 「好、好的……♪不、不要緊……我還記得……♪」
紅豆: 「嗯？這個味道是……嗅嗅，嗅嗅……」
紅豆: 「咖哩！是咖哩的味道！」
楓: 「確實是有咖哩香傳來呢。」
桂: 「嘩～真是讓人性慾……不對，食慾大開的香味～♪」
時雨: 「桂，這是第二次囉？」
桂: 「對、對不起～……♪沒辦法一教就會真的很對不起～……♪」
巧克力: 「喵～。不過為什麼咖哩的味道會這麼香呢？」
椰子: 「就是啊，讓人不管多少盤都能吃得下，真是神奇。難怪有人會說咖哩是飲料。」
香草: 「那是因為椰子的胃跟無底洞一樣吧咧囉咧囉咧囉咧囉」
時雨: 「既然如此，今晚大家一起來煮咖哩吧。材料就待會兒一起買回去。」
巧克力: 「贊成──！那晚飯就交給巧克力來做吧！」
楓: 「妳說妳要做……妳知道怎麼做菜嗎？」
桂: 「要說廚藝慘烈也不對，再說我好像不記得她有下過廚～……？」
紅豆: 「巧克力妳明明就只會讀片假名跟平假名，就算有食譜妳也看不懂吧。」
巧克力: 「不要緊！之前巧克力靠奇天烈超百科的主題曲把做法記住了！」
椰子: 「我不是說過那是可樂餅做法了嗎？而且還說了三次。」
香草: 「有我看著不會有問題的。聽說只要加了愛情這道秘方，料理就會變好吃。」
巧克力: 「那就一切ＯＫ了嘛！說不定巧克力有煮咖哩的天份喔！」
時雨: 「好好好，晚點我們再一起做吧。要大家一起喔。」
桂: 「是呀，我也覺得這樣比較好～」
巧克力: 「咦？不用啦，巧克力會加油的！」
楓: 「雖然做完早餐又得做晚餐麻煩得要命，不過既然是偶爾一次那就算了吧。」
紅豆: 「哎──畢竟沒晚餐吃可叫人受不了嘛。」
椰子: 「對不起，巧克力……只有晚飯，只有晚飯我絕不能退讓……」
巧克力: 「嗯？嗯嗯嗯？為什麼？為什麼是大家一起？」
香草: 「巧克力，下次跟我一起練習讀國字吧？（拭淚）」
