楓＆時雨: 「下午５點，晚餐（煮咖哩篇）」
紅豆: 「搞什麼！皮包得也太緊了吧這顆包莖馬鈴薯啊啊啊啊！！」
桂: 「紅、紅豆……不可以剝得那麼粗魯啦……♪」
桂: 「剝、剝馬鈴薯皮的時候啊？只要像這樣，用鋁箔紙包起來輕輕搓揉……」
桂: 「輕、輕輕、像這樣搓……！啊，妳、妳看……白白的，白白的東西不就跑出來了嗎……♪喵～～～～……♪」
楓: 「桂，那是吃的東西，拜託妳別老扯到那方面去好嗎？」
椰子: 「真是的……桂就是老愛開黃腔……」
巧克力: 「什麼什麼？怎麼回事？出什麼事了？」
香草: 「對巧克力來說還太早了。乖，到這邊來跟我一起削胡蘿蔔皮吧？」
時雨: 「嗚嗚嗚嗚嗚……！這、這洋蔥弄得我眼睛好痛……嗚嗚，看不見前面了啦……！」
椰子: 「啊啊，時雨小姐您怎麼弄得手上都是洋蔥汁……」
椰子: 「這點小事只要您一句話我就會處理的啊。我帶您去洗手間去把眼睛跟手洗乾淨吧。」
椰子: 「來，牽著我的手。」
時雨: 「不好意思喔，椰子。那就麻煩妳牽我到──」
椰子: 「咿呀啊啊啊啊啊啊啊啊啊啊啊啊！！洋蔥、洋蔥汁刺得我眼睛好痛啊啊啊啊啊啊啊啊啊啊！！！」
時雨: 「對、對不起椰子！我不是故意的，實在是因為看不到前面！妳沒事吧！？」
巧克力: 「胡蘿蔔～胡蘿蔔～削蘿蔔皮好開心～♪」
楓: 「巧克力還真有自己的一套步調呢。」
香草: 「我就愛這樣的巧克力。」
楓: 「哎，我看我們還是趕快把咖哩煮一煮，不然靠她們大概是做不出什麼正常食物了。」
香草: 「遵旨。一切就交給小妹我吧。」
