椰子＆桂: 「下午６點，嘉祥少爺歸宅。」
巧克力: 「哼哼哼～哼哼～哼～♪」
巧克力: 「越煮越香囉～♪好想快點吃到大家一起做的咖哩喵～♪」
楓: 「幾乎都是我跟香草在動手做就是了。」
香草: 「沒辦法，每個人負責的項目不同。看來晚上可以吃到正常點的東西，太好了。」
巧克力: 「喵！？這個開門的聲音，一定是主人！主人回來了！」
巧克力: 「椰子！巧克力要去迎接主人，妳可以幫忙顧一下咖哩嗎！？」
椰子: 「嘻嘻，沒問題。快去吧。」
椰子: 「瞧妳尾巴翹得半天高的，巧克力真的很喜歡嘉祥少爺呢？」
巧克力: 「嗯！巧克力最喜歡主人了！那麼，巧克力要出發去迎接主人了喵！」
時雨: 「歡迎回來，哥哥──────！！」
時雨: 「今晚的咖哩是我做的喔！請您務必、務必好好品嚐～！」
巧克力: 「喵！？居然已經被時雨搶先了！？」
香草: 「時雨在門還沒打開以前就已經衝進玄關了。」
紅豆: 「時雨的嘉祥雷達真是準得嚇死人。」
桂: 「上次在房間的時候，時雨只是說了句『──哥哥正在呼喚我。』電話就響了呢～」
楓: 「準成這樣老實說還挺噁心的。」
香草: 「簡單來說就是對自己哥哥的愛。」
椰子: 「啊，飯好像煮好了。」
椰子: 「反正她們倆很快就會被趕回來，我們先開始準備吧。」
楓: 「也好，就這麼辦吧。」
時雨: 「嗯～哥哥，別這麼冷淡，跟人家一起共進晚餐嘛～您高興的話要我幫您洗背也沒問題喔～♪」
巧克力: 「巧克力也要一起洗！拜託主人幫巧克力洗背好不好～！」
