巧克力＆香草: 「晚上７點！晚飯（收拾篇）！」
巧克力: 「哼哼～巧克力做的咖哩被主人稱讚了耶～♪」
香草: 「太好了呢。見到巧克力開心我也開心。」
楓: 「巧克力就是巧克力，不過幫忙削了一下蘿蔔皮而已就把整鍋咖哩當成是自己作品了呢。」
紅豆: 「跟某隻個性扭曲的美國捲耳貓可差多囉～」
楓: 「啊？怎麼？妳又想找碴了嗎？」
紅豆: 「喔？要打嗎要打嗎？小心被我作成甜點吃掉喔？」
桂: 「不過嘉祥少爺最近好像很忙的樣子耶。」
椰子: 「是啊，最近幾乎看不到少爺悠閒待在家休息的模樣呢。」
桂: 「該不會是在外面有了女朋友──」
時雨: 「怎、怎麼可能……！」
椰子: 「時、時雨小姐！？不要緊吧，有沒有受傷……！？」
時雨: 「哥、哥哥居然交了女朋友……如果是家裡的貓娘也就算了，哥哥怎麼可能會跟其他女人在一起……」
紅豆: 「喂、喂喂，時雨妳不要緊吧……？我看妳整張臉都發青了……」
椰子: 「桂，看妳幹了什麼好事！怎麼可以隨便在時雨小姐面前講出這種話呢！？」
桂: 「對、對不起……！我只是不小心把心裡想的事說出口……！」
時雨: 「這、這怎麼可能……！明明身邊已經有我這樣一個積極的妹妹，還有受遍各式英才教育的優秀貓娘們在了不是嗎……！」
時雨: 「啊，對了……！諸行無常，盛者必衰之理……只要是戀人，就無法避開破局的可能性……」
時雨: 「就算跟親妹妹間的血緣會維持一生，但愛情關係總有一天必須面臨分手問題……」
時雨: 「要讓這時候提早到來不是不可能……絕對不是不可能的事……只要不擇手段的話……」
時雨: 「沒錯，只要讓哥哥不小心把我的照片寄給對方……！」
楓: 「只會被當成普通的妹妹照片而已吧？」
時雨: 「楓！楓妳到底是站在哪一邊的？既然如此就別怪我收回要買最新型i-Ph○ne給妳的約定！！」
楓: 「天哪──！太過份了！怎麼可以這麼不講理！？」
楓: 「那、那叫桂把她那對自豪的巨乳拍下來送過去不就得了！這樣才有效果不是嗎！？」
桂: 「怎麼可以這樣！居然要把人家的羞恥影像放流到網路上永久流傳，這樣太過火了啦～！！」
桂: 「既然如此讓外表讓看起來有點犯罪味道的紅豆出馬不是更有效嗎～！」
紅豆: 「什麼叫有犯罪味道！我好歹也比妳年長好不好，妳這隻奶子貓！！」
時雨: 「想太多想太多。紅豆身材跟我又差不了多少。」
紅豆: 「妳妳妳……！平常看妳不太會說這種話，結果私底下居然是這樣看我的……！？」
時雨: 「不然，乾脆利用桂跟椰子這對巨乳二人組的照片來製造亂交假象……！」
椰子: 「嗚哇──！人家明明一點關係都沒有的說！太過份，太過份了啦時雨小姐！」
香草: 「唔～嗯，真是太慘了。人一旦陷入混亂狀態還真恐怖。」
香草: 「……咦？巧克力？巧克力怎麼不見了……？」
香草: 「啊，難道說……！巧克力該不會是受到打擊離家出走了吧……！？」
巧克力: 「主人說他沒有女朋友耶！哇～真是太好了～♪」
時雨: 「喔喔喔……！當我還在不知所措的時候，她居然一派輕鬆地跑去打開最恐怖的潘朵拉之盒……！巧克力，真是可怕的孩子……！」
香草: 「不愧是巧克力，論純真跟一根腸子通到底的行動力沒人比得上。」
香草: 「總之事情終於告一段落，太好了太好了。」
紅豆: 「臭時雨，原來這才是她的真心話……這下連飼主都大意不得了……（念念有詞）」
桂: 「就算我是Ｍ好了，可是也該有個限度啊……人家不要沒有愛的虐待啦～……」
椰子: 「沒想到連我都遭殃……雖然是我自己要對時雨小姐宣誓忠誠的沒錯啦……」
楓: 「惹她生氣居然會招來經濟制裁……以後再遇到同樣情況的話可得小心點了……」
香草: 「……喔喔，貓娘們的心靈蒙上了深深陰影。」
巧克力: 「嗯？氣氛怎麼這麼沉重？老虎跟馬怎麼了嗎？」
香草: 「嗯嗯，巧克力真可愛。希望妳可以永遠保持這份純真。」
巧克力: 「嗯？嗯嗯嗯～？雖然搞不太懂，不過巧克力一直都很有精神所以不需要擔心喔～♪」
香草: 「是啊，不擔心不擔心。」
香草: 「好了，我們先來收拾現場吧。反正大家待會就回神了。」
巧克力: 「好～我也來幫忙～♪」
