椰子＆楓: 「晚上８點，飯後小憩（看電視篇）」
巧克力: 「香草妳看電視！是大象！有大象耶！」
巧克力: 「啊哈哈哈，好大！超大的！鼻子好長！咆喔──！」
香草: 「咆喔～而且眼神很溫柔。不過整體外表看起來又皺又粗糙。」
紅豆: 「喔喔喔，熱帶雨林真不得了……！連我的貓科血統都沸騰起來了……！」
紅豆: 「上啊，獵豹！一爪幹掉那隻羚羊！就是那裡──！」
桂: 「地方又大又有好多恐怖的動物，要在這種地方活下去好像很難……」
桂: 「還好我是水無月家養的貓～」
椰子: 「不過，可以的話我倒是有點想在其中盡情活動身體。想必應該很暢快吧。」
時雨: 「那下次大家一起去玩如何？我聽說最近有旅行社推出可以觀賞到棲息在雨林裡的野生動物的行程。」
楓: 「我才不想去那種連手機都打不通的地方。要出去玩還是得去夏威夷或拉斯維加斯比較好。」
巧克力: 「啊，這次換播海裡的動物了！殺人鯨，香草妳最喜歡的殺人鯨出來囉！」
香草: 「喔喔喔，殺人鯨真是太帥了……！」
香草: 「不知道藍鯨之類的鯨魚會不會出來……這輩子真想親眼見識一下……！」
紅豆: 「喔喔，是魚啊。接著是魚類特集嗎？」
桂: 「黑鮪魚好大隻喔～看起來好好吃的樣子～♪」
椰子: 「沙丁魚群看起來好壯觀，好好吃的樣子喔。要是有這麼多的話，想必一定能盡情吃個夠吧。」
楓: 「可以吃到新鮮生魚這點倒是挺誘人的。」
巧克力: 「聽說翻車魚可以吃耶。不知道好不好吃？」
香草: 「在南國好像隨處都可以買到，我也想嚐嚐看是什麼味道呢。」
時雨: 「唔～嗯，果然魚在貓娘眼中就只是食物而已呢。嘶嘶──」
時雨: 「好啦，妳們差不多也該洗澡了，把電視關了吧。」
全員: 「好～」
