紅豆＆桂: 「晚上８點３０分，入浴」
紅豆: 「燙燙燙！是誰把洗澡水燒得那麼熱啊！洗澡水燒溫點不是常識嗎！」
楓: 「什麼話，水不熱一點洗起來哪舒服。」
楓: 「哈～這種一天終於結束的感覺真不錯～♪」
巧克力: 「最近主人都不跟我們一起洗澡了說～真不知道為什麼～」
香草: 「那是因為主人是大色狼的緣故啊。」
巧克力: 「什麼什麼？妳是說我們兩個已經變成成熟女性了嗎？是這樣嗎？」
香草: 「看見椰子跟桂光溜溜的模樣還能這麼說，巧克力真了不起。」
時雨: 「不過巧克力妳直到前陣子為止都還能跟哥哥一起洗澡不是嗎。」
時雨: 「哪像我，哥哥已經好幾年都不肯跟我一起洗澡了……唉～……」
紅豆: 「明明連偷偷躲在燈光全暗的浴室裡等嘉祥進來這招都用上了說～」
楓: 「做到這種程度還會被發現，嘉祥的感覺未免靈敏過頭了吧。看來時雨也挺辛苦的呢～」
椰子: 「唉……身體小小的真好……」
椰子: 「每次洗澡的時候，我都會覺得自己要是能長得可愛一點就好了……」
桂: 「別這麼說嘛～我覺得椰子這樣的體格很帥氣啊～」
桂: 「而且，胸部可是人類的至寶喔～？再拿出一點自信來嘛～」
椰子: 「嗯，見到時雨小姐把臉埋在我胸前還高興地跟我說很舒服時，我確實是蠻開心的啦……」
椰子: 「不過要我跟桂一樣對自己胸部那麼有自信恐怕是沒辦法吧……啊哈哈……」
桂: 「就算沒有我大，椰子還是應該多拿點自信出來啊～嗯，有自信絕對是好事喔～♪」
桂: 「我聽說，只要全人類都長出大胸部的話，世界上就不會有戰爭囉～」
楓: 「來～那邊那隻大奶貓，我幫妳洗洗背吧。我沖～」
桂: 「哈啊啊啊啊啊啊啊啊啊啊啊～～～～♪不要用冷水、不要用冷水潑人家啦～～～～♪」
紅豆: 「那就再來一盆冷水吧？看招～」
桂: 「喵～～～～……♪人家才剛洗好身體而已，再這樣下去又要濕了啦～～～～～～～～……♪」
楓: 「桂真是太強了。」
時雨: 「桂，等等記得進浴缸來把身子泡暖喔──？」
桂: 「好～～～～我、我知～～～～道了～～～～♪」
