時雨＆椰子: 「晚上９點３０分，出浴」
楓: 「咕嚕、咕嚕、咕嚕……」
楓: 「呼啊啊～♪果然洗好澡就是要來瓶冰牛奶才棒～♪」
桂: 「沒錯～這種胸部好像又要開始變大的感覺真的讓人很難以抗拒呢～♪」
紅豆: 「什麼話，洗完澡應該要喝可樂才對！咕嚕咕嚕咕嚕……！」
紅豆: 「哈──！碳酸在喉嚨裡跳動的感覺超爽的～……！！」
巧克力: 「欸欸，時雨。」
巧克力: 「電燈上垂下來的這條線是什麼？」
香草: 「昨天還沒看到這條怪線。」
時雨: 「啊啊，那是只要拉一下就能關燈的開關。」
時雨: 「因為門口的開關突然壞掉，所以我才臨時請椰子裝上的。」
巧克力: 「嘿～原來這樣就能關燈啦，文明還真是了不起耶～」
時雨: 「雖然這是舊時代的產物就是了。」
香草: 「嗯～看它晃來晃去的，身為貓娘實在很難不對它感興趣。」
巧克力: 「就是說啊，讓人很想出手打它呢。就像這樣……我打。」
香草: 「……（啪）」
巧克力: 「（啪）」
香草: 「（啪）」
巧克力＆香草: 「（啪啪啪啪啪啪啪啪）」
椰子: 「色即是空，空即是色……！明鏡止水，大意失荊州……！我是大人，我是大人……！」
椰子: 「我不在意，就算巧克力和香草在我面前把線打得亂跳一通我也一點都不在意不在意不在意……！！」
巧克力: 「椰子要一起玩嗎～？」
椰子: 「要！人家也要一起打電燈線！」
楓: 「呵呵，居然對一條線沉迷成這個樣子。」
楓: 「椰子身體大歸大，性格還是跟個孩子沒兩樣呢。」
紅豆: 「我看妳年紀大，膽子倒是沒有比人大嘛。」
紅豆: 「怕黑的話，乾脆像鮟鱇魚一樣在頭上掛個燈籠如何？」
紅豆: 「啊，不過一打開廁所門就看到個燈籠晃來晃去也挺討厭的呢。喀喀喀！」
楓: 「妳死定了。今晚我一定要妳的命！」
紅豆: 「哈，就憑妳這隻嬌嬌捲耳貓啊，別笑死人了。」
桂: 「都已經洗好澡了，妳們就別再吵了嘛～都已經是大人了，不是嗎？」
紅豆: 「什麼～？不要以為胸部大說話就大聲好不好，妳這隻奶子貓！（啪）」
楓: 「雖然說妳也只有這點能拿出來說嘴，不過每次都用同一招有時候看了也挺煩的。（啪）」
桂: 「呀！不、不可以打人家的胸部啦～！」
紅豆: 「喔喔～（啪啪）真的會搖呢（啪啪）。我看這震度至少有８吧（啪啪啪）？」
楓: 「真虧妳可以頂著這兩顆活到現在（啪啪），看起來實在很礙手礙腳呢（啪啪啪）。」
桂: 「喵～為什麼人家老是被這種對待啦～～～不要啊～～♪♪♪」
巧克力＆香草＆椰子: 「（啪啪啪啪啪啪啪啪）」
